alpha,beta
1.1891529341772853,2.7825953697786936
1.1961356403837857,2.968952781245802
1.1901216845738065,2.9051863467933914
1.1833939951737786,2.8464922551589593
1.1769591934010828,2.7506548103852126
1.174897967000128,2.7570997169974163
1.1701833668793287,2.7764205391499175
1.1762373864101103,2.9566127910294773
1.177718806538924,3.0298170172881442
1.1610491328812695,2.8051985249810616
1.163515880341094,2.921288472927892
1.1574693382372854,2.865943914590339
1.1465936522298628,2.7078535267386106
1.1430227126499832,2.7757301306458264
1.1411554507524522,2.7920402278565946
1.1376069581576598,2.80066634135056
1.1426059538946491,2.993348767677824
1.1377644591282432,2.957070617058025
1.134337417623833,2.957994117233223
1.1230148927991381,2.84521672206274
1.1336193214705705,3.1165446516499418
1.1137016071152186,2.8130263882100985
1.1039888726723701,2.7018501084561057
1.1019620027010841,2.7220570922720455
1.1012265681373443,2.7460275800138754
1.094353596208183,2.6442652283085546
1.0965928685563542,2.7930588305526296
1.1003968002415574,2.950358766662518
1.0860169468537242,2.750273470178314
1.0834612986493999,2.7463556083798357
1.0839440238161797,2.7770252348783937
1.0953260194939944,3.051417495531038
1.0810414250935443,2.862619815096667
1.0786477126517797,2.8708955161417022
1.0805331413147645,2.9740788044221316
1.060956667761079,2.6491504382475757
1.0556081173737486,2.6295084945054215
1.0585218747786753,2.722389360789925
1.0627816568549264,2.796669959434166
1.0581922336451013,2.8045988206540766
1.0585241825554668,2.858185028708958
1.064269768357796,3.008624449719473
1.059763372938111,3.00584423808832
1.0550781779246035,2.9590391348537572
1.0389549703348668,2.717077729601737
1.0399000937899447,2.810440322955322
1.0380177284696417,2.8256835930014876
1.0418984105825928,2.9230522181519314
1.0340460592895184,2.901310285248032
1.0282422592282856,2.875496965126228
1.023830024832038,2.837176489540054
1.0192659524230547,2.8372341065249076
1.0216481632159364,2.944917680086203
1.0093961070668969,2.833172594424656
1.0072581909792253,2.868644392566683
0.9928813762314164,2.6413583770503117
0.9952608809502319,2.7555372565040015
1.0043126091372665,2.965842886605811
1.0087042363969598,3.0745606000801566
0.9978458470713805,2.9450656620138216
0.9978182511788368,2.9924980124216485
0.9846667750945433,2.782344705811051
0.9843359280171171,2.821269395088386
0.9830329049133429,2.9126382456043967
0.9828405748055766,2.950816555264881
0.985516391124,3.0932334188602564
0.9745399660833322,2.9601529636811583
0.9784561251565894,3.068883590787855
0.96989111668677,3.011318307327554
0.9684443415810915,2.9822553795253874
0.9631063338389475,2.9587857707936585
0.9550729987897453,2.8613451259537577
0.9592018610272385,3.0226302975455495
0.9455706029324992,2.8644806237854117
0.9428696598842506,2.8831181901875724
0.9533355051499264,3.1200339540647386
0.93628280278491,2.915944024835954
0.9347565493752762,2.9549687232966684
0.9291647987529826,2.898500811069891
0.923393254991554,2.844545355625314
0.9064032592918727,2.5830048695824326
0.9100380530336292,2.6689447590026836
0.9173987798728555,2.8517492946425245
0.9125658649396212,2.8032473556164286
0.9112081951132707,2.8130240314873562
0.9112815656249226,2.9252687410073954
0.9154491918665281,3.016020926886903
0.8952157676947615,2.7522106773288932
0.9007627788275102,2.9163557186910323
0.8908769483146151,2.8382486654121197
0.8890286101229162,2.8707134179676355
0.894714241059444,3.0038614998699007
0.8924421732684517,3.056075559520844
0.8832378710172477,2.9383055110582945
0.8709204330993393,2.822115855879469
0.8819850662413291,3.0768402459039437
0.8674161579325403,2.8225813702574643
0.8773744102969009,3.0861415297738346
0.8745742740533182,3.1123356692431856
0.8644060414124569,2.993492467516779
0.8564974553041287,2.9120735438144387
0.845396171342296,2.806786914788391
0.8457958330055199,2.880853911152516
0.8462816800117074,2.978210167742
0.8264764692452305,2.718963992137111
0.823309337540661,2.75711157316355
0.8156744811646008,2.654374543311481
0.8174614329384703,2.75207708285735
0.8195244477134903,2.8448838904761278
0.8057026611311605,2.6675209787209226
0.8101624948756677,2.8353595404348386
0.8220797249941211,3.108842739501801
0.810697360858333,2.973111478325061
0.8008595995442251,2.8538834697459534
0.7903325778074926,2.7765720246913035
0.7823443943957064,2.6730915724558533
0.7862528219866823,2.792763896662783
0.7812761081230767,2.8009792915472493
0.7721089176684663,2.652673664927046
0.7755585772107519,2.8083412378609918
0.7699447838500584,2.8074278508332857
0.7685764878692347,2.8554115738628383
0.7653303413821597,2.892247091693393
0.7602650208569002,2.846651425202905
0.7540282623406028,2.804479127397737
0.7522608319939895,2.841005668629682
0.7329068945225834,2.543649877872222
0.7424847594584355,2.7710010556682803
0.7441302587973043,2.8396385077805792
0.7463195149478071,2.933717651206654
0.7296067728497078,2.7193140286347566
0.7281229669521243,2.7317452105756534
0.7207387691549163,2.619535067031847
0.7309965883053772,2.911499463723499
0.7399263641665822,3.1613512078189645
0.7326500636694722,3.0779221068081752
0.7199289413324956,2.925466267807175
0.700565086533282,2.6598728376151675
0.70317302555653,2.7691544627471916
0.6997595822347596,2.739792030357515
0.705031194118728,2.824930251976263
0.7097143298559171,3.032464172521118
0.6970344538264854,2.901364015629743
0.69019170881528,2.929073066699195
0.6937414507299257,3.0757538249433276
0.6865264377459256,2.9884344118124444
0.6867792664865293,3.0872689544695158
0.6693699030863359,2.8480950766907895
0.6618762872102669,2.7874446947010973
0.6648887208843854,2.9421009870319113
0.6541000754152858,2.815992933236534
0.6495778568435496,2.760321694651585
0.6476240100784836,2.8355159069742797
0.6472994950816625,2.918225894369109
0.6458015923020687,2.930137446795415
0.6391495298093549,2.8808569647933013
0.6312334148739399,2.811990865603474
0.615189107984154,2.5702225340930047
0.6145880083682715,2.6041415397267986
0.6143152807768554,2.610223941283497
0.6307012562850584,2.9999497155192976
0.6161912994513085,2.8349654115423886
0.6147436958590198,2.8725566160789375
0.6173815877505192,2.972048498721236
0.6065238029276394,2.876405098641812
0.615015765925905,3.0685658877597155
0.607935904081412,2.989640988210329
0.6007833923798866,2.9382710743598617
0.5888472739428561,2.769576049507211
0.5859100410273337,2.738742127926221
0.5767573090545102,2.5957830678000975
0.5695973956545234,2.5309016306784726
0.58149708434699,2.835474121759802
0.5752667130872047,2.761915931790246
0.5684610673011113,2.6570516414230516
0.5744379151788369,2.7962611920016713
0.5713341485554255,2.814917226786619
0.5667346401879745,2.739847897690876
0.574398372333716,2.972618426828103
0.5549630594344035,2.6793239637051482
0.5454510101915355,2.5845331086270247
0.5363047812981255,2.4530457589135217
0.5411705593034771,2.5421373154573685
0.5504747285701239,2.8135421390079043
0.5441412136860104,2.73686732513112
0.5410258872454773,2.737222842861291
0.5461776255656956,2.9533916644718
0.5478733453869948,3.0753073666615136
0.5343504376478642,2.9232410837108143
0.5357277902212091,2.9961897426113233
0.5244535589749065,2.9130651327404387
0.5037903139501325,2.635711445244656
0.5091881735488261,2.7594948062310682
0.5082995109702485,2.809202130536325
0.5053415887111218,2.8336501773611626
0.5105706873138021,2.9770948383105478
0.49686742708028037,2.7571074037651617
0.5053552326254576,2.983516117222721
0.49571403864352503,2.9470301035555004
0.4975956171489065,3.0566007523702976
0.4809127054289394,2.8311327057179003
0.470585175494035,2.7304499800371853
0.4763176163539332,2.8546813957369555
0.47722669302784687,2.941331685344684
0.47324529155343364,2.956174971507922
0.47489293638172614,3.0307009406441145
0.46270084893576646,2.938555306011141
0.4619839968587898,2.9483044527633537
0.4519707483200495,2.8764838046942374
0.44548547841497893,2.7748602823876127
0.457245376430055,3.0404980695561705
0.4433219397296221,2.9226396787201345
0.44666978564919874,3.0720202205999136
0.436704829349603,2.978934484686807
0.4179653094656853,2.695251858784609
0.4180610675068618,2.760611666183245
0.41948044851225713,2.826615088463589
0.419673170354108,2.925516462560924
0.40938746748349275,2.834716389346231
0.4004988443722764,2.7031252723943586
0.39817635498793347,2.745266048795765
0.39585807814337776,2.7363493686794174
0.38303379801949194,2.560385447464278
0.3905497697524666,2.7532916104944536
0.3846212875575408,2.684077359496426
0.3803246209664004,2.701823636813626
0.3927547035280248,2.954278097734298
0.3820458645179048,2.837163136397307
0.373134786537943,2.7463127195976855
0.38156642629409715,2.8817784436994094
0.3767261609376654,2.82789891009521
0.3902985572188863,3.1360788313125005
0.37728328969373753,2.9968007006660153
0.3716231024447026,3.0106985090520277
0.37077814275472776,3.041068980696099
0.36264014023896407,2.9391189844743897
0.37002173093201723,3.1188341427416586
0.34570545222399307,2.726515188185511
0.35782426732714495,3.011249122353494
0.3421108696447157,2.8047635371957114
0.33701587852507103,2.769704358068915
0.33207645513078116,2.745034327587775
0.34165688452004095,2.9806873838162806
0.33858674631483393,3.047219204813832
0.33750580801807,3.123090205430848
0.3280919314120719,3.0035337069049035
0.3126233981137058,2.744128643402516
0.3192268256830688,2.9667719096645877
0.32041452611755383,3.0262573710545566
0.3178055672918831,3.0206228789392706
0.31554095834965157,3.0306865519358728
0.2963374291419322,2.7270655162467485
0.2953083586265673,2.7580643893152397
0.2931814551058163,2.764603508621908
0.29876760097250393,2.9498082730145225
0.2934378861944059,2.982550202281769
0.28462192204447234,2.929290247059085
0.2696297771930228,2.728586029373907
0.27269901001109126,2.838003949449792
0.28021307989646427,3.0634795986292476
0.27819600796466576,3.1124709411930462
0.26477214447864234,2.9377900263548873
0.25364199591709824,2.813901711046592
0.2565783651802758,2.9321619984885636
0.25020430175035946,2.9100518017186805
0.24512011716639567,2.87082405014471
0.24303800622087465,2.848987446225925
0.2506055505878805,3.0049868415679715
0.24858846121240952,3.023745767904949
0.23663781591580058,2.866414427627431
0.2363433853786821,2.9563737922121076
0.21942360621819784,2.7378868460128434
